Sample,Species,Reads
Abili-CLP2469,Agkistrodon_bilineatus,14953627
Abili-CLP2470,Agkistrodon_bilineatus,9735181
Acont-CLP2223,Agkistrodon_contortrix,14167920
Acont-CLP2224,Agkistrodon_contortrix,13331924
Acont-KW1091,Agkistrodon_contortrix,16526624
Acont-CLP2702,Agkistrodon_contortrix,7126121
Acont-CLP2215,Agkistrodon_contortrix,9180655
Acont-DRR0033,Agkistrodon_contortrix,12604123
Acont-KW2155,Agkistrodon_contortrix,23569190
Acont-DRR0002,Agkistrodon_contortrix,8209452
Acont-DRR0001,Agkistrodon_contortrix,9917635
Apisc-KW1996,Agkistrodon_piscivorus,7605479
Apisc-Ap03,Agkistrodon_piscivorus,6400460
Apisc-KW1750,Agkistrodon_piscivorus,14853710
Apisc-MM0024,Agkistrodon_piscivorus,5755478
Apisc-Ap07,Agkistrodon_piscivorus,26016746
Apisc-CLP2700,Agkistrodon_piscivorus,11334832
Apisc-CLP2701,Agkistrodon_piscivorus,9779716
Apisc-KW2031,Agkistrodon_piscivorus,11634487
Apisc-KW2035,Agkistrodon_piscivorus,9644373
Aruss-CLP2622,Agkistrodon_russeolus,17287604
Aruss-CLP2623,Agkistrodon_russeolus,4628390
Cadam-DRR0105,Crotalus_adamanteus,19249864
Cadam-DRR0106,Crotalus_adamanteus,21047167
Cadam-KW0944,Crotalus_adamanteus,23625619
Cadam-KW1264,Crotalus_adamanteus,35447909
Cadam-KW1942,Crotalus_adamanteus,19423637
Cadam-KW2161,Crotalus_adamanteus,16402206
Cadam-KW2170,Crotalus_adamanteus,9525185
Cadam-KW2171,Crotalus_adamanteus,7547781
Cadam-KW2184,Crotalus_adamanteus,10198722
Cadam-MM0114,Crotalus_adamanteus,23239418
Caqui-CLP2290,Crotalus_aquilus,10982525
Caqui-CLP2291,Crotalus_aquilus,11339683
Caqui-CLP2299,Crotalus_aquilus,8230253
Caqui-CLP2301,Crotalus_aquilus,12618234
Caqui-CLP2302,Crotalus_aquilus,9990640
Caqui-CLP2303,Crotalus_aquilus,9480648
Caqui-CLP2414,Crotalus_aquilus,12696727
Carms-CLP2402,Crotalus_armstrongi,9632107
Carms-CLP2472,Crotalus_armstrongi,24970051
Carms-CLP2473,Crotalus_armstrongi,18216274
Catro-CLP1915,Crotalus_atrox,10973904
Catro-CLP1919,Crotalus_atrox,10539227
Catro-CLP1925,Crotalus_atrox,11819659
Catro-CLP2329,Crotalus_atrox,8036070
Catro-CLP2332,Crotalus_atrox,10420001
Catro-CLP2706,Crotalus_atrox,11519412
Catro-KW1109,Crotalus_atrox,9797698
Catro-MM0251,Crotalus_atrox,7221863
Catro-MM0254,Crotalus_atrox,11323930
Catro-MM0255,Crotalus_atrox,14441404
Catro-CLP1946,Crotalus_atrox,11911981
Catro-CLP1952,Crotalus_atrox,14531207
Catro-CLP2176,Crotalus_atrox,14196786
Cbasi-CLP2466,Crotalus_basiliscus,32883348
Cbasi-CLP2467,Crotalus_basiliscus,16555101
Cbasi-CLP2468,Crotalus_basiliscus,19883290
Ccamp-CLP2396,Crotalus_campbelli,9598340
Ccamp-CLP2397,Crotalus_campbelli,14566561
Ccamp-CLP2398,Crotalus_campbelli,12662801
Ccera-CLP2065,Crotalus_cerastes,11730996
Ccera-CLP2068,Crotalus_cerastes,10012527
Ccera-CLP2109,Crotalus_cerastes,9944527
Ccera-CLP2105,Crotalus_cerastes,11041804
Ccera-CLP2137,Crotalus_cerastes,9636209
Ccera-KW1744,Crotalus_cerastes,15388983
Ccera-CLP2057,Crotalus_cerastes,11316183
Ccera-CLP2071,Crotalus_cerastes,12050654
Ccerb-CLP1933,Crotalus_cerberus,10049147
Ccerb-CLP1942,Crotalus_cerberus,18296699
Ccerb-CLP2163,Crotalus_cerberus,17127718
Cduri-SB0276,Crotalus_durissus,15665680
Cduri-SB0277,Crotalus_durissus,20620516
Cduri-SB0042,Crotalus_durissus,9605966
Cduri-SB0043,Crotalus_durissus,22172870
Cduri-SB0044,Crotalus_durissus,15760733
Cenyo-CLP2636,Crotalus_enyo,3407567
Cenyo-CLP2638,Crotalus_enyo,14182505
Cenyo-CLP2644,Crotalus_enyo,10986457
Cenyo-CLP2645,Crotalus_enyo,11873074
Cenyo-CLP2655,Crotalus_enyo,12313410
Ceric-CLP2391,Crotalus_ericsmithi,16067831
Chorr-KW1089,Crotalus_horridus,28620129
Chorr-KW1298,Crotalus_horridus,23083855
Chorr-KW1369,Crotalus_horridus,10974922
Chorr-DRR0085,Crotalus_horridus,6090475
Cinte-CLP2309,Crotalus_intermedius,25352059
Cinte-CLP2323,Crotalus_intermedius,14505815
Clann-CLP2394,Crotalus_lannomi,9637024
Clepi-CLP1932,Crotalus_lepidus,11955664
Clepi-CLP2201,Crotalus_lepidus,10995803
Clepi-CLP2202,Crotalus_lepidus,10732979
Clepi-CLP2258,Crotalus_lepidus,14708277
Clepi-CLP2346,Crotalus_lepidus,21097603
Clepi-CLP1993,Crotalus_lepidus,8696710
Clepi-CLP2268,Crotalus_lepidus,10946793
Clepi-KW1748,Crotalus_lepidus,11041786
Clepi-MM0245,Crotalus_lepidus,14848154
Cmitc-CLP2647,Crotalus_mitchellii,13640243
Cmitc-CLP2648,Crotalus_mitchellii,13860306
Cpyrr-CLP2656,Crotalus_pyrrhus,11203746
Cmitc-CLP2657,Crotalus_mitchellii,13387186
Cmitc-CLP2671,Crotalus_mitchellii,7854539
Cmitc-CLP2672,Crotalus_mitchellii,8284640
Cmolo-CLP2350,Crotalus_molossus,14822112
Cmolo-CLP1934,Crotalus_molossus,8364760
Cmolo-CLP2124,Crotalus_molossus,11277854
Cmolo-CLP2146,Crotalus_molossus,13546098
Cmolo-CLP2198,Crotalus_molossus,12502017
Cmolo-CLP2200,Crotalus_molossus,22894612
Cmolo-CLP2260,Crotalus_molossus,18065026
Cmolo-CLP2270,Crotalus_molossus,10548309
Cmolo-CLP2271,Crotalus_molossus,16129048
Cmolo-CLP2330,Crotalus_molossus,10286371
Cmolo-CLP2374,Crotalus_molossus,10493816
Cmolo-CLP2375,Crotalus_molossus,13397695
Cmoru-CLP2403,Crotalus_morulus,8036176
Cmoru-CLP2404,Crotalus_morulus,25796609
Cmoru-CLP2405,Crotalus_morulus,12478797
Coreg-CLP1844,Crotalus_oreganus,12287441
Coreg-CLP1974,Crotalus_oreganus,7742662
Coreg-CLP2046,Crotalus_oreganus,12247625
Coreg-CLP2050,Crotalus_oreganus,14511337
Coreg-MM0235,Crotalus_oreganus,9362972
Coreg-CLP2063,Crotalus_oreganus,11221609
Coreg-CLP2485,Crotalus_oreganus,26979622
Coreg-CLP2486,Crotalus_oreganus,26001140
Corna-CLP1996,Crotalus_ornatus,7639448
Corna-CLP2020,Crotalus_ornatus,7589506
Corna-CLP2025,Crotalus_ornatus,10720505
Corna-CLP2026,Crotalus_ornatus,18434721
Corna-CLP2189,Crotalus_ornatus,12173599
Corna-MM0243,Crotalus_ornatus,13110774
Corna-MM0257,Crotalus_ornatus,9293570
Cpoly-CLP2399,Crotalus_polystictus,10631404
Cpoly-CLP2400,Crotalus_polystictus,12487599
Cpoly-CLP2401,Crotalus_polystictus,8990243
Cpric-CLP2273,Crotalus_pricei,17981641
Cpric-CLP2274,Crotalus_pricei,8587265
Cpric-CLP2148,Crotalus_pricei,11445204
Cpric-CLP2254,Crotalus_pricei,8265788
Cpric-CLP2255,Crotalus_pricei,19170914
Cpric-CLP2256,Crotalus_pricei,18407591
Cpusi-CLP2483,Crotalus_pusillus,7669530
Cpyrr-CLP2051,Crotalus_pyrrhus,9284577
Cmitc-CLP2646,Crotalus_mitchellii,6304331
Cpyrr-DRR0045,Crotalus_pyrrhus,34478996
Cpyrr-DRR0046,Crotalus_pyrrhus,12142401
Cpyrr-KW1745,Crotalus_pyrrhus,26740183
Cravu-CLP2318,Crotalus_ravus,13947619
Cravu-CLP2371,Crotalus_ravus,12702379
Cravu-CLP2380,Crotalus_ravus,32496042
Crube-CLP2642,Crotalus_ruber,8913171
Crube-CLP2643,Crotalus_ruber,12031661
Crube-CLP2659,Crotalus_ruber,6333113
Crube-CLP2052,Crotalus_ruber,9282328
Crube-CLP2056,Crotalus_ruber,9881135
Crube-CLP2635,Crotalus_ruber,8570752
Cscut-CLP2382,Crotalus_scutulatus,14061184
Cscut-CLP2389,Crotalus_scutulatus,11584362
Cscut-CLP2390,Crotalus_scutulatus,10480094
Cscut-CLP1778,Crotalus_scutulatus,12913544
Cscut-CLP1785,Crotalus_scutulatus,13300986
Cscut-CLP1787,Crotalus_scutulatus,12886930
Cscut-CLP1821,Crotalus_scutulatus,12257260
Cscut-CLP1823,Crotalus_scutulatus,8974231
Cscut-CLP1829,Crotalus_scutulatus,11444624
Cscut-CLP1830,Crotalus_scutulatus,10918843
Cscut-CLP1831,Crotalus_scutulatus,13500165
Cscut-CLP1832,Crotalus_scutulatus,11643302
Cscut-CLP1835,Crotalus_scutulatus,14185602
Cscut-CLP1961,Crotalus_scutulatus,10048282
Cscut-CLP2021,Crotalus_scutulatus,13870030
Cscut-CLP2111,Crotalus_scutulatus,11020177
Cscut-CLP2261,Crotalus_scutulatus,10538801
Cscut-CLP2262,Crotalus_scutulatus,14968240
Cscut-CLP2272,Crotalus_scutulatus,4937790
Cscut-CLP2276,Crotalus_scutulatus,9770234
Cscut-CLP2333,Crotalus_scutulatus,7760407
Cscut-KW1107,Crotalus_scutulatus,10111195
Cscut-MM0240,Crotalus_scutulatus,8625901
Cstep-CLP2717,Crotalus_stephensi,12042495
Cstep-CLP2719,Crotalus_stephensi,11517594
Cstep-CLP2720,Crotalus_stephensi,20080664
Ctigr-CLP1944,Crotalus_tigris,7846015
Ctigr-CLP2130,Crotalus_tigris,10669597
Ctigr-CLP2156,Crotalus_tigris,14024862
Ctigr-KW1746,Crotalus_tigris,12611828
Ctoto-CLP2392,Crotalus_totonacus,14768649
Ctoto-CLP2393,Crotalus_totonacus,11504424
Ctoto-CLP2474,Crotalus_totonacus,23702745
Ctran-CLP2358,Crotalus_transversus,21934321
Ctris-CLP2310,Crotalus_triseriatus,14157089
Ctris-CLP2312,Crotalus_triseriatus,8719574
Ctris-CLP2313,Crotalus_triseriatus,14274153
Ctris-CLP2356,Crotalus_triseriatus,28264748
Ctris-CLP2357,Crotalus_triseriatus,12250820
Ctris-CLP2395,Crotalus_triseriatus,14239317
Cviri-CLP1842,Crotalus_viridis,10186253
Cviri-CLP2082,Crotalus_viridis,11410305
Cviri-CLP1839,Crotalus_viridis,12802952
Cviri-CLP1914,Crotalus_viridis,11747631
Cviri-MM0239,Crotalus_viridis,12954911
Cviri-MM0246,Crotalus_viridis,7198873
Cviri-MM0247,Crotalus_viridis,10866725
Cwill-CLP2257,Crotalus_willardi,9137573
Cwill-CLP2110,Crotalus_willardi,10831904
Scate-DRR0043,Sistrurus_catenatus,30683266
Smili-DRR0055,Sistrurus_miliarius,28454868
Smili-KW1749,Sistrurus_miliarius,12609697
Smili-MM0113,Sistrurus_miliarius,25506540
Smili-Sm03,Sistrurus_miliarius,4267702
Smili-Sm07,Sistrurus_miliarius,15801471
Smili-DRR0086,Sistrurus_miliarius,7443170
Sterg-CLP2594,Sistrurus_tergeminus,13410968
Sterg-DRR0032,Sistrurus_tergeminus,33667429
Sterg-CLP2231,Sistrurus_tergeminus,9520836
Sterg-KW1090,Sistrurus_tergeminus,11167471